timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561197562,492,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,492,0,236
1740561197560,502,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,502,0,244
1740561197561,506,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,506,0,242
1740561202560,498,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,498,0,241
1740561204229,506,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,506,0,255
1740561207560,266,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,333,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,266,0,0
1740561210896,268,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,333,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,268,0,0
1740561212561,277,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,550,347,1,3,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,277,0,0
1740561217561,261,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,237,288,1,3,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories/6?token=group_3_user_1,261,0,0
1740561217566,271,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,347,1,3,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,271,0,0
1740561217564,486,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,486,0,238
1740561222559,260,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,295,1,2,http://35.232.210.73:8091/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/products/count/6?token=group_3_user_1,260,0,0
1740561224229,282,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,218,288,1,1,http://34.72.14.4:8090/fixed_window_counter/mysql_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories/5?token=group_2_user_1,282,0,0
