timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561239301,478,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,319,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,478,0,235
1740561239301,480,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,319,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,480,0,237
1740561239301,487,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,319,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,487,0,240
1740561244301,506,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,750,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,506,0,247
1740561245970,500,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,750,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,500,0,247
1740561249301,274,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,350,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,273,0,0
1740561252635,244,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,350,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,244,0,0
1740561254300,282,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,364,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,282,0,0
1740561259303,257,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,218,305,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories/5?token=group_3_user_1,257,0,0
1740561259303,282,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,364,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,282,0,0
1740561259301,474,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,750,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,474,0,235
1740561264300,259,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,312,1,2,http://35.232.210.73:8091/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/products/count/5?token=group_3_user_1,259,0,0
1740561265969,249,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,218,305,1,1,http://34.72.14.4:8090/fixed_window_counter/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories/5?token=group_2_user_1,249,0,0
