timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561155510,491,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,491,0,239
1740561155514,487,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,487,0,239
1740561155514,501,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,302,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,501,0,246
1740561160512,483,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,483,0,238
1740561162180,485,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,485,0,237
1740561165516,277,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,333,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,277,0,0
1740561168847,253,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,333,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,253,0,0
1740561170513,271,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,347,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,271,0,0
1740561175514,271,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,237,288,1,3,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories/6?token=group_3_user_1,270,0,0
1740561175515,281,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,347,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,281,0,0
1740561175511,488,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,733,1,3,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,488,0,240
1740561180515,249,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,295,1,2,http://35.232.210.73:8091/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/products/count/6?token=group_3_user_1,249,0,0
1740561182183,259,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,218,288,1,1,http://34.72.14.4:8090/fixed_window_counter/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories/5?token=group_2_user_1,259,0,0
