timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561280810,487,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,487,0,236
1740561280815,518,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,518,0,265
1740561280815,520,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,520,0,265
1740561285817,525,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,525,0,258
1740561287477,508,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,508,0,250
1740561290813,257,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,314,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,257,0,0
1740561294144,247,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,314,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,247,0,0
1740561295816,291,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,328,1,3,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,291,0,0
1740561300816,272,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,218,269,1,3,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories/5?token=group_3_user_1,272,0,0
1740561300811,281,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,550,328,1,3,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,281,0,0
1740561300817,519,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,519,0,235
1740561305815,278,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,276,1,2,http://35.232.210.73:8091/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/products/count/5?token=group_3_user_1,278,0,0
1740561307479,256,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,237,269,1,1,http://34.72.14.4:8090/gcra/mysql_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories/6?token=group_2_user_1,256,0,0
