timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561322412,479,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,479,0,236
1740561322412,488,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,488,0,240
1740561322412,491,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,283,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,491,0,241
1740561327413,511,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,511,0,263
1740561329083,487,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,487,0,241
1740561332414,257,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,314,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,257,0,0
1740561335744,245,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,314,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,245,0,0
1740561337412,270,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,328,1,3,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,270,0,0
1740561342413,259,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,218,269,1,3,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories/5?token=group_3_user_1,259,0,0
1740561342413,274,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,550,328,1,3,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,274,0,0
1740561342411,501,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,714,1,3,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,501,0,247
1740561347411,255,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,276,1,2,http://35.232.210.73:8091/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/products/count/5?token=group_3_user_1,255,0,0
1740561349079,245,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,227,269,1,1,http://34.72.14.4:8090/gcra/redis_script_period_60_rate_100_burst_5/tools.descartes.teastore.persistence/rest/categories/4?token=group_2_user_1,245,0,0
