timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561406214,502,1.1 - Get Categories,200,,Thread Group 3-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_5,502,0,242
1740561406214,502,1.1 - Get Categories,200,,Thread Group 6-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_2,502,0,242
1740561406214,502,1.1 - Get Categories,200,,Thread Group 1-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,502,0,242
1740561406216,502,1.1 - Get Categories,200,,Thread Group 7-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,502,0,243
1740561406215,503,1.1 - Get Categories,200,,Thread Group 5-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_3,503,0,241
1740561406216,502,1.1 - Get Categories,200,,Thread Group 2-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,502,0,247
1740561406215,503,1.1 - Get Categories,200,,Thread Group 4-1,text,true,,506,290,1,7,http://34.72.14.4:8090/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_4,503,0,241
1740561411214,502,1.2 - Is Logged In,200,,Thread Group 4-1,,true,,125,721,1,7,http://35.232.210.73:8091/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_4,502,0,247
1740561411215,501,1.2 - Is Logged In,200,,Thread Group 3-1,,true,,125,721,1,7,http://35.232.210.73:8091/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_5,501,0,246
1740561411214,502,1.2 - Is Logged In,200,,Thread Group 5-1,,true,,125,721,1,7,http://35.232.210.73:8091/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_3,502,0,247
1740561411213,503,1.2 - Is Logged In,200,,Thread Group 6-1,,true,,125,721,1,7,http://35.232.210.73:8091/leaky_bucket/redis_script_delay_3000_leak_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_2,503,0,248
