timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561447818,497,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,497,0,235
1740561447818,495,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,495,0,235
1740561447818,501,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,501,0,237
1740561452818,501,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,501,0,241
1740561454483,492,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,492,0,241
1740561457819,268,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,354,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,268,0,0
1740561461153,264,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,354,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,264,0,0
1740561462816,272,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,550,368,1,3,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,272,0,0
1740561467820,254,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,237,309,1,3,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories/6?token=group_3_user_1,254,0,0
1740561467820,301,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,368,1,3,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,301,0,0
1740561467820,513,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,513,0,250
1740561472818,259,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,316,1,2,http://35.232.210.73:8091/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/products/count/6?token=group_3_user_1,259,0,0
1740561474485,249,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,218,309,1,1,http://34.72.14.4:8090/sliding_window_counter/mysql_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories/5?token=group_2_user_1,249,0,0
