timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561489611,516,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,340,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,516,0,259
1740561489614,513,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,340,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,513,0,256
1740561489614,513,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,340,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,513,0,256
1740561494615,490,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,771,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,490,0,244
1740561496279,486,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,771,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,486,0,242
1740561499613,252,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,371,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,252,0,0
1740561502944,248,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,371,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,248,0,0
1740561504613,272,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,385,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,272,0,0
1740561509615,251,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,222,326,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories/3?token=group_3_user_1,251,0,0
1740561509614,294,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,385,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,294,0,0
1740561509615,490,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,771,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,490,0,240
1740561514620,248,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,333,1,2,http://35.232.210.73:8091/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/products/count/3?token=group_3_user_1,248,0,0
1740561516279,264,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,237,326,1,1,http://34.72.14.4:8090/sliding_window_counter/redis_async_rate_limit_100_window_size_60_sub_window_count_5_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories/6?token=group_2_user_1,264,0,0
