timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561531074,509,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,509,0,240
1740561531080,515,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,515,0,259
1740561531080,515,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,323,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,515,0,259
1740561536084,480,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,480,0,235
1740561537741,514,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,514,0,238
1740561541080,258,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,354,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,258,0,0
1740561544408,252,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,354,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,252,0,0
1740561546081,259,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,548,368,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,259,0,0
1740561551082,254,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,218,309,1,3,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories/5?token=group_3_user_1,254,0,0
1740561551075,261,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,368,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,261,0,0
1740561551080,478,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,754,1,3,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,478,0,237
1740561556083,245,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,316,1,2,http://35.232.210.73:8091/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/products/count/5?token=group_3_user_1,245,0,0
1740561557742,253,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,227,309,1,1,http://34.72.14.4:8090/sliding_window_counter/redis_script_rate_limit_100_window_size_60_sub_window_count_5/tools.descartes.teastore.persistence/rest/categories/2?token=group_2_user_1,253,0,0
