timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561613455,484,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,484,0,239
1740561613458,491,1.1 - Get Categories,404,,Thread-Gruppe 1-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,491,0,244
1740561613459,524,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,524,0,260
1740561618460,498,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,498,0,253
1740561620124,495,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,495,0,247
1740561623460,271,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,271,0,0
1740561626792,256,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,256,0,0
1740561628459,250,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,250,0,0
1740561633458,257,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,257,0,0
1740561633459,273,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,273,0,0
1740561633460,514,1.1 - Get Categories,404,,Thread-Gruppe 1-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,514,0,255
1740561638460,246,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,321,1,2,http://35.232.210.73:8091/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,246,0,0
1740561640123,244,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1087,318,1,1,http://34.72.14.4:8090/sliding_window_logs/redis_async_rate_limit_100_window_size_60_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,244,0,0
