timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561696193,482,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,481,0,234
1740561696193,510,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,510,0,245
1740561696193,510,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,510,0,246
1740561701194,489,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,489,0,238
1740561702862,504,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,504,0,247
1740561706193,271,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,330,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,270,0,0
1740561709527,248,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,330,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,248,0,0
1740561711194,260,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,344,1,3,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,260,0,0
1740561716193,269,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,227,285,1,3,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories/2?token=group_3_user_1,269,0,0
1740561716194,279,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,548,344,1,3,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,279,0,0
1740561716193,521,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,521,0,256
1740561721193,247,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,292,1,2,http://35.232.210.73:8091/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/products/count/2?token=group_3_user_1,247,0,0
1740561722860,256,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,227,285,1,1,http://34.72.14.4:8090/token_bucket/mysql_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories/4?token=group_2_user_1,256,0,0
