timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561737553,500,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 1-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,500,0,247
1740561737560,497,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,497,0,246
1740561737559,499,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 2-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,499,0,246
1740561742562,492,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,319,1,3,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,492,0,245
1740561744230,495,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 2-1,text,true,,344,319,1,3,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,495,0,251
1740561747560,262,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,262,0,0
1740561750894,252,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 2-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,252,0,0
1740561752561,250,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,319,1,3,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,250,0,0
1740561757560,261,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 2-1,text,true,,344,319,1,3,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,261,0,0
1740561757560,265,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,316,1,3,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,265,0,0
1740561757554,494,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 1-1,text,true,,344,319,1,3,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,494,0,243
1740561762562,254,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 3-1,text,true,,344,319,1,2,http://35.232.210.73:8091/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,254,0,0
1740561764227,279,1.1 - Get Categories,429,Too Many Requests,Thread-Gruppe 2-1,text,true,,344,316,1,1,http://34.72.14.4:8090/token_bucket/redis_async_bucket_capacity_5_refill_rate_1.67_batch_percent_0.5/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,279,0,0
