timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561779474,495,1.1 - Get Categories,200,,Thread-Gruppe 3-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,495,0,256
1740561779474,504,1.1 - Get Categories,200,,Thread-Gruppe 1-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,503,0,259
1740561779474,511,1.1 - Get Categories,200,,Thread-Gruppe 2-1,text,true,,506,299,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,511,0,262
1740561784473,534,1.2 - Is Logged In,200,,Thread-Gruppe 3-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_3_user_1,534,0,265
1740561786142,495,1.2 - Is Logged In,200,,Thread-Gruppe 2-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_2_user_1,495,0,246
1740561789473,245,1.3 - Get Store Icon Image,200,,Thread-Gruppe 3-1,text,true,,4957,330,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.image/rest/image/getWebImages?token=group_3_user_1,244,0,0
1740561792807,250,1.3 - Get Store Icon Image,200,,Thread-Gruppe 2-1,text,true,,4957,330,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.image/rest/image/getWebImages?token=group_2_user_1,250,0,0
1740561794473,293,2.1 - Login,200,,Thread-Gruppe 3-1,text,true,,549,344,1,3,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/login?name=user2&password=password&token=group_3_user_1,293,0,0
1740561799473,242,3.1 - Get Category,200,,Thread-Gruppe 3-1,text,true,,218,285,1,3,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories/5?token=group_3_user_1,242,0,0
1740561799476,276,2.1 - Login,200,,Thread-Gruppe 2-1,text,true,,549,344,1,3,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/login?name=user1&password=password&token=group_2_user_1,276,0,0
1740561799474,488,1.2 - Is Logged In,200,,Thread-Gruppe 1-1,,true,,125,730,1,3,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.auth/rest/useractions/isloggedin?token=group_1_user_1,488,0,240
1740561804473,283,3.2 - Get Category Count,200,,Thread-Gruppe 3-1,text,true,,160,292,1,2,http://35.232.210.73:8091/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/products/count/5?token=group_3_user_1,283,0,0
1740561806142,253,3.1 - Get Category,200,,Thread-Gruppe 2-1,text,true,,237,285,1,1,http://34.72.14.4:8090/token_bucket/redis_script_bucket_capacity_5_refill_rate_1.67/tools.descartes.teastore.persistence/rest/categories/6?token=group_2_user_1,253,0,0
