client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740719172420,429,200,1740719112420,1740719172420
group_3_user_1,1740719173421,429,200,1740719113421,1740719173421
group_3_user_1,1740719174422,429,200,1740719114422,1740719174422
group_3_user_1,1740719175421,429,200,1740719115421,1740719175421
group_3_user_1,1740719175921,429,200,1740719115921,1740719175921
group_3_user_1,1740719177664,429,200,1740719117664,1740719177664
group_3_user_1,1740719178665,429,200,1740719118665,1740719178665
group_3_user_1,1740719179164,429,200,1740719119164,1740719179164
group_3_user_1,1740719180166,429,200,1740719120166,1740719180166
group_3_user_1,1740719181165,429,200,1740719121165,1740719181165
group_3_user_1,1740719182165,429,200,1740719122165,1740719182165
group_3_user_1,1740719183665,200,429,1740719123665,1740719183665
group_3_user_1,1740719184164,200,429,1740719124164,1740719184164
group_3_user_1,1740719188164,200,429,1740719128164,1740719188164
group_3_user_1,1740719188677,200,429,1740719128677,1740719188677
group_3_user_1,1740719189178,200,429,1740719129178,1740719189178
group_3_user_1,1740719189677,200,429,1740719129677,1740719189677
group_3_user_1,1740719192938,200,429,1740719132938,1740719192938
group_3_user_1,1740719193440,200,429,1740719133440,1740719193440
group_3_user_1,1740719193940,200,429,1740719133940,1740719193940
group_3_user_1,1740719194439,200,429,1740719134439,1740719194439
group_3_user_1,1740719208973,200,429,1740719148973,1740719208973
group_3_user_1,1740719209473,200,429,1740719149473,1740719209473
group_3_user_1,1740719209973,200,429,1740719149973,1740719209973
group_3_user_1,1740719210473,200,429,1740719150473,1740719210473
group_3_user_1,1740719213733,200,429,1740719153733,1740719213733
group_3_user_1,1740719214234,200,429,1740719154234,1740719214234
group_3_user_1,1740719214734,200,429,1740719154734,1740719214734
group_3_user_1,1740719236035,200,429,1740719176035,1740719236035
group_3_user_1,1740719239536,200,429,1740719179536,1740719239536
group_3_user_1,1740719240533,200,429,1740719180533,1740719240533
group_3_user_1,1740719245072,200,429,1740719185072,1740719245072
group_3_user_1,1740719245573,200,429,1740719185573,1740719245573
group_3_user_1,1740719246074,200,429,1740719186074,1740719246074
group_3_user_1,1740719246611,200,429,1740719186611,1740719246611
group_3_user_1,1740719247125,200,429,1740719187125,1740719247125
group_3_user_1,1740719248124,200,429,1740719188124,1740719248124
group_3_user_1,1740719248624,200,429,1740719188624,1740719248624
group_3_user_1,1740719249123,200,429,1740719189123,1740719249123
group_3_user_1,1740719249624,200,429,1740719189624,1740719249624
group_3_user_1,1740719250398,200,429,1740719190398,1740719250398
