client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740721299843,429,200,1740721239843,1740721299843
group_3_user_1,1740721360416,429,200,1740721300416,1740721360416
group_3_user_1,1740721481133,429,200,1740721421133,1740721481133
group_3_user_1,1740721571112,429,200,1740721511112,1740721571112
group_3_user_2,1740721241903,429,200,1740721181903,1740721241903
group_3_user_2,1740721303807,200,429,1740721243807,1740721303807
group_3_user_2,1740721363428,429,200,1740721303428,1740721363428
group_3_user_2,1740721424032,429,200,1740721364032,1740721424032
group_3_user_2,1740721545228,429,200,1740721485228,1740721545228
group_3_user_3,1740721305849,200,429,1740721245849,1740721305849
group_3_user_3,1740721606727,429,200,1740721546727,1740721606727
group_3_user_4,1740721368750,200,429,1740721308750,1740721368750
group_3_user_4,1740721428345,429,200,1740721368345,1740721428345
group_3_user_4,1740721488989,429,200,1740721428989,1740721488989
group_3_user_5,1740721309269,200,429,1740721249269,1740721309269
