client_id,total_requests,total_errors,error_rate
group_1_user_1,300,0,0.0
group_2_user_1,868,0,0.0
group_3_user_1,1093,448,40.988106129917654
group_1_user_2,300,1,0.33333333333333337
group_1_user_3,300,0,0.0
group_1_user_4,300,0,0.0
group_1_user_5,300,0,0.0
group_2_user_2,867,0,0.0
group_1_user_6,300,0,0.0
group_1_user_7,300,0,0.0
group_1_user_8,300,0,0.0
group_2_user_3,868,0,0.0
group_1_user_9,300,0,0.0
group_1_user_10,300,0,0.0
group_1_user_11,300,0,0.0
group_1_user_12,300,0,0.0
group_2_user_4,867,0,0.0
group_1_user_13,300,0,0.0
group_1_user_14,300,0,0.0
group_1_user_15,300,0,0.0
group_1_user_16,300,0,0.0
group_2_user_5,863,0,0.0
group_3_user_2,1090,468,42.935779816513765
group_1_user_17,299,0,0.0
group_1_user_18,299,0,0.0
group_1_user_19,299,0,0.0
group_1_user_20,299,0,0.0
group_2_user_6,866,0,0.0
group_1_user_21,299,0,0.0
group_1_user_22,299,0,0.0
group_1_user_23,299,0,0.0
group_2_user_7,864,0,0.0
group_1_user_24,299,0,0.0
group_1_user_25,299,0,0.0
group_1_user_26,299,0,0.0
group_1_user_27,299,0,0.0
group_1_user_28,299,0,0.0
group_2_user_8,864,0,0.0
group_1_user_29,299,0,0.0
group_1_user_30,299,0,0.0
group_1_user_31,299,0,0.0
group_2_user_9,862,0,0.0
group_3_user_3,1091,459,42.07149404216315
group_1_user_32,298,0,0.0
group_1_user_33,298,0,0.0
group_1_user_34,298,0,0.0
group_2_user_10,863,0,0.0
group_1_user_35,298,0,0.0
group_1_user_36,298,0,0.0
group_1_user_37,298,0,0.0
group_1_user_38,298,0,0.0
group_1_user_39,298,0,0.0
group_2_user_11,862,0,0.0
group_1_user_40,298,1,0.33557046979865773
group_1_user_41,298,0,0.0
group_1_user_42,298,0,0.0
group_2_user_12,863,0,0.0
group_1_user_43,298,0,0.0
group_1_user_44,298,0,0.0
group_1_user_45,298,0,0.0
group_1_user_46,298,0,0.0
group_2_user_13,861,0,0.0
group_3_user_4,1084,447,41.23616236162362
group_1_user_47,297,0,0.0
group_1_user_48,297,0,0.0
group_1_user_49,297,0,0.0
group_1_user_50,297,0,0.0
group_2_user_14,859,0,0.0
group_1_user_51,297,0,0.0
group_1_user_52,297,0,0.0
group_1_user_53,297,0,0.0
group_1_user_54,297,0,0.0
group_2_user_15,860,0,0.0
group_1_user_55,297,0,0.0
group_1_user_56,297,0,0.0
group_1_user_57,297,0,0.0
group_2_user_16,858,0,0.0
group_1_user_58,297,0,0.0
group_1_user_59,297,0,0.0
group_1_user_60,297,0,0.0
group_1_user_61,297,0,0.0
group_2_user_17,858,1,0.11655011655011654
group_3_user_5,1082,451,41.68207024029575
group_1_user_62,296,0,0.0
group_1_user_63,296,0,0.0
group_1_user_64,296,0,0.0
group_1_user_65,296,0,0.0
group_2_user_18,857,0,0.0
group_1_user_66,296,0,0.0
group_1_user_67,296,0,0.0
group_1_user_68,296,0,0.0
group_1_user_69,296,0,0.0
group_2_user_19,855,0,0.0
group_1_user_70,296,0,0.0
group_1_user_71,296,0,0.0
group_1_user_72,296,0,0.0
group_2_user_20,855,0,0.0
group_1_user_73,296,0,0.0
group_1_user_74,296,0,0.0
group_1_user_75,296,0,0.0
