client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740841355595,429,200,1740841295595,1740841355595
group_3_user_1,1740841474975,200,429,1740841414975,1740841474975
group_3_user_1,1740841478191,200,429,1740841418191,1740841478191
group_3_user_1,1740841534566,429,200,1740841474566,1740841534566
group_3_user_1,1740841655643,429,200,1740841595643,1740841655643
group_3_user_1,1740841720797,200,429,1740841660797,1740841720797
group_3_user_1,1740841774328,429,200,1740841714328,1740841774328
group_3_user_1,1740841791504,429,200,1740841731504,1740841791504
group_3_user_1,1740841882958,429,200,1740841822958,1740841882958
group_3_user_1,1740841891719,429,200,1740841831719,1740841891719
group_2_user_5,1740841412765,502,200,1740841352765,1740841412765
group_3_user_2,1740841414890,429,200,1740841354890,1740841414890
group_3_user_2,1740841475403,429,200,1740841415403,1740841475403
group_3_user_2,1740841537374,200,429,1740841477374,1740841537374
group_3_user_2,1740841778681,429,200,1740841718681,1740841778681
group_3_user_2,1740841810637,429,200,1740841750637,1740841810637
group_3_user_2,1740841871676,429,200,1740841811676,1740841871676
group_3_user_3,1740841357422,429,200,1740841297422,1740841357422
group_3_user_3,1740841443751,200,429,1740841383751,1740841443751
group_3_user_3,1740841599916,429,200,1740841539916,1740841599916
group_3_user_3,1740841644719,200,429,1740841584719,1740841644719
group_3_user_3,1740841657781,200,429,1740841597781,1740841657781
group_3_user_3,1740841660335,200,429,1740841600335,1740841660335
group_3_user_3,1740841709262,429,200,1740841649262,1740841709262
group_3_user_3,1740841719312,429,200,1740841659312,1740841719312
group_3_user_3,1740841720312,200,429,1740841660312,1740841720312
group_3_user_3,1740841720833,200,429,1740841660833,1740841720833
group_3_user_3,1740841721557,429,200,1740841661557,1740841721557
group_3_user_3,1740841725384,200,429,1740841665384,1740841725384
group_3_user_3,1740841734972,429,200,1740841674972,1740841734972
group_3_user_3,1740841773012,200,429,1740841713012,1740841773012
group_3_user_3,1740841788488,429,200,1740841728488,1740841788488
group_3_user_3,1740841795444,200,429,1740841735444,1740841795444
group_3_user_3,1740841819885,429,200,1740841759885,1740841819885
group_3_user_3,1740841856348,200,429,1740841796348,1740841856348
group_3_user_4,1740841479887,429,200,1740841419887,1740841479887
group_3_user_4,1740841542689,200,429,1740841482689,1740841542689
group_3_user_4,1740841585322,200,429,1740841525322,1740841585322
group_3_user_4,1740841602720,429,200,1740841542720,1740841602720
group_3_user_4,1740841606147,429,200,1740841546147,1740841606147
group_3_user_4,1740841663222,200,429,1740841603222,1740841663222
group_3_user_4,1740841783071,429,200,1740841723071,1740841783071
group_3_user_4,1740841788139,200,429,1740841728139,1740841788139
group_3_user_4,1740841843657,429,200,1740841783657,1740841843657
group_3_user_4,1740841866487,429,200,1740841806487,1740841866487
group_1_user_55,1740841299649,500,200,1740841239649,1740841299649
group_3_user_5,1740841425430,200,429,1740841365430,1740841425430
group_3_user_5,1740841555509,429,200,1740841495509,1740841555509
group_3_user_5,1740841602580,200,429,1740841542580,1740841602580
group_3_user_5,1740841618402,200,429,1740841558402,1740841618402
group_3_user_5,1740841656546,200,429,1740841596546,1740841656546
group_3_user_5,1740841785350,429,200,1740841725350,1740841785350
group_3_user_5,1740841791743,200,429,1740841731743,1740841791743
group_3_user_5,1740841792282,429,200,1740841732282,1740841792282
group_3_user_5,1740841843921,429,200,1740841783921,1740841843921
group_3_user_5,1740841891075,200,429,1740841831075,1740841891075
