client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740732938642,429,200,1740732878642,1740732938642
group_3_user_1,1740732991248,429,200,1740732931248,1740732991248
group_3_user_2,1740732870893,429,200,1740732810893,1740732870893
group_3_user_2,1740732890507,429,200,1740732830507,1740732890507
group_3_user_2,1740732931507,429,200,1740732871507,1740732931507
group_3_user_3,1740732872982,429,200,1740732812982,1740732872982
group_3_user_3,1740733020864,429,200,1740732960864,1740733020864
group_3_user_3,1740733054091,429,200,1740732994091,1740733054091
group_3_user_4,1740732945059,429,200,1740732885059,1740732945059
group_3_user_5,1740732816623,429,200,1740732756623,1740732816623
group_3_user_5,1740732878461,200,429,1740732818461,1740732878461
group_3_user_5,1740732938118,429,200,1740732878118,1740732938118
group_3_user_5,1740732998816,429,200,1740732938816,1740732998816
group_3_user_5,1740733180503,429,200,1740733120503,1740733180503
