client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740854306891,429,200,1740854246891,1740854306891
group_3_user_1,1740854428270,429,200,1740854368270,1740854428270
group_3_user_1,1740854730330,429,200,1740854670330,1740854730330
group_3_user_2,1740854325645,429,200,1740854265645,1740854325645
group_3_user_2,1740854490136,429,200,1740854430136,1740854490136
group_3_user_2,1740854610919,429,200,1740854550919,1740854610919
group_3_user_2,1740854671653,429,200,1740854611653,1740854671653
group_3_user_3,1740854310766,429,200,1740854250766,1740854310766
group_3_user_3,1740854431351,429,200,1740854371351,1740854431351
group_3_user_3,1740854454105,200,429,1740854394105,1740854454105
group_3_user_3,1740854519892,429,200,1740854459892,1740854519892
group_3_user_3,1740854585119,429,200,1740854525119,1740854585119
group_3_user_4,1740854434798,200,429,1740854374798,1740854434798
group_3_user_4,1740854615993,429,200,1740854555993,1740854615993
group_3_user_4,1740854736632,429,200,1740854676632,1740854736632
group_3_user_5,1740854375096,429,200,1740854315096,1740854375096
group_3_user_5,1740854496053,429,200,1740854436053,1740854496053
group_3_user_5,1740854737783,200,429,1740854677783,1740854737783
